Species,CulmenLength,CulmenDepth,FlipperLength,OriginLocation,BodyMass
Adelie,39.1,18.7,181,Torgersen,3750
Adelie,39.5,17.4,186,Torgersen,3800
Adelie,40.3,18,195,Torgersen,3250
Adelie,NA,NA,NA,Torgersen,NA
Adelie,36.7,19.3,193,Torgersen,3450
Adelie,39.3,20.6,190,Torgersen,3650
Adelie,38.9,17.8,181,Torgersen,3625
Adelie,39.2,19.6,195,Torgersen,4675
Adelie,34.1,18.1,193,Torgersen,3475
Adelie,42,20.2,190,Torgersen,4250
Adelie,37.8,17.1,186,Torgersen,3300
Adelie,37.8,17.3,180,Torgersen,3700
Adelie,41.1,17.6,182,Torgersen,3200
Adelie,38.6,21.2,191,Torgersen,3800
Adelie,34.6,21.1,198,Torgersen,4400
Adelie,36.6,17.8,185,Torgersen,3700
Adelie,38.7,19,195,Torgersen,3450
Adelie,42.5,20.7,197,Torgersen,4500
Adelie,34.4,18.4,184,Torgersen,3325
Adelie,46,21.5,194,Torgersen,4200
Adelie,37.8,18.3,174,Biscoe,3400
Adelie,37.7,18.7,180,Biscoe,3600
Adelie,35.9,19.2,189,Biscoe,3800
Adelie,38.2,18.1,185,Biscoe,3950
Adelie,38.8,17.2,180,Biscoe,3800
Adelie,35.3,18.9,187,Biscoe,3800
Adelie,40.6,18.6,183,Biscoe,3550
Adelie,40.5,17.9,187,Biscoe,3200
Adelie,37.9,18.6,172,Biscoe,3150
Adelie,40.5,18.9,180,Biscoe,3950
Adelie,39.5,16.7,178,Dream,3250
Adelie,37.2,18.1,178,Dream,3900
Adelie,39.5,17.8,188,Dream,3300
Adelie,40.9,18.9,184,Dream,3900
Adelie,36.4,17,195,Dream,3325
Adelie,39.2,21.1,196,Dream,4150
Adelie,38.8,20,190,Dream,3950
Adelie,42.2,18.5,180,Dream,3550
Adelie,37.6,19.3,181,Dream,3300
Adelie,39.8,19.1,184,Dream,4650
Adelie,36.5,18,182,Dream,3150
Adelie,40.8,18.4,195,Dream,3900
Adelie,36,18.5,186,Dream,3100
Adelie,44.1,19.7,196,Dream,4400
Adelie,37,16.9,185,Dream,3000
Adelie,39.6,18.8,190,Dream,4600
Adelie,41.1,19,182,Dream,3425
Adelie,37.5,18.9,179,Dream,2975
Adelie,36,17.9,190,Dream,3450
Adelie,42.3,21.2,191,Dream,4150
Chinstrap,46.5,17.9,192,Dream,3500
Chinstrap,50,19.5,196,Dream,3900
Chinstrap,51.3,19.2,193,Dream,3650
Chinstrap,45.4,18.7,188,Dream,3525
Chinstrap,52.7,19.8,197,Dream,3725
Chinstrap,45.2,17.8,198,Dream,3950
Chinstrap,46.1,18.2,178,Dream,3250
Chinstrap,51.3,18.2,197,Dream,3750
Chinstrap,46,18.9,195,Dream,4150
Chinstrap,51.3,19.9,198,Dream,3700
Chinstrap,46.6,17.8,193,Dream,3800
Chinstrap,51.7,20.3,194,Dream,3775
Chinstrap,47,17.3,185,Dream,3700
Chinstrap,52,18.1,201,Dream,4050
Chinstrap,45.9,17.1,190,Dream,3575
Chinstrap,50.5,19.6,201,Dream,4050
Chinstrap,50.3,20,197,Dream,3300
Chinstrap,58,17.8,181,Dream,3700
Chinstrap,46.4,18.6,190,Dream,3450
Chinstrap,49.2,18.2,195,Dream,4400
Chinstrap,42.4,17.3,181,Dream,3600
Chinstrap,48.5,17.5,191,Dream,3400
Chinstrap,43.2,16.6,187,Dream,2900
Chinstrap,50.6,19.4,193,Dream,3800
Chinstrap,46.7,17.9,195,Dream,3300
Chinstrap,52,19,197,Dream,4150
Chinstrap,50.5,18.4,200,Dream,3400
Chinstrap,49.5,19,200,Dream,3800
Chinstrap,46.4,17.8,191,Dream,3700
Chinstrap,52.8,20,205,Dream,4550
Chinstrap,40.9,16.6,187,Dream,3200
Chinstrap,54.2,20.8,201,Dream,4300
Chinstrap,42.5,16.7,187,Dream,3350
Chinstrap,51,18.8,203,Dream,4100
Chinstrap,49.7,18.6,195,Dream,3600
Chinstrap,47.5,16.8,199,Dream,3900
Chinstrap,47.6,18.3,195,Dream,3850
Chinstrap,52,20.7,210,Dream,4800
Chinstrap,46.9,16.6,192,Dream,2700
Chinstrap,53.5,19.9,205,Dream,4500
Chinstrap,49,19.5,210,Dream,3950
Chinstrap,46.2,17.5,187,Dream,3650
Chinstrap,50.9,19.1,196,Dream,3550
Chinstrap,45.5,17,196,Dream,3500
Chinstrap,50.9,17.9,196,Dream,3675
Chinstrap,50.8,18.5,201,Dream,4450
Chinstrap,50.1,17.9,190,Dream,3400
Chinstrap,49,19.6,212,Dream,4300
